Age,Height,Weight,Bmi,Gender,BmiClass
61,1.85,109.3,31.9357195,Male,Obese Class 1
60,1.71,79.02,27.0236996,Female,Overweight
60,1.55,74.7,31.09261186,Female,Obese Class 1
60,1.46,35.9,16.84180897,Female,Underweight
60,1.58,97.1,38.89601025,Female,Obese Class 2
59,1.71,79.32,27.12629527,Male,Overweight
59,1.7,73.32,25.37024221,Male,Overweight
59,1.72,85.32,28.83991347,Female,Overweight
59,1.46,36,16.88872209,Female,Underweight
59,1.83,104.7,31.26399713,Male,Obese Class 1
58,1.71,79.31,27.12287541,Male,Overweight
58,1.7,73.41,25.40138408,Female,Overweight
58,1.72,85.21,28.80273121,Female,Overweight
58,1.47,36,16.65972511,Female,Underweight
57,1.71,79.3,27.11945556,Male,Overweight
57,1.7,73.5,25.43252595,Male,Overweight
57,1.72,85.1,28.76554895,Male,Overweight
57,1.75,110,35.91836735,Male,Obese Class 2
57,1.58,79.7,31.9259734,Female,Obese Class 1
57,1.47,36,16.65972511,Female,Underweight
57,1.6,99.1,38.7109375,Female,Obese Class 2
56,1.71,79.29,27.1160357,Male,Overweight
56,1.7,73.59,25.46366782,Male,Overweight
56,1.72,84.99,28.72836668,Male,Overweight
56,1.59,75.8,29.98299118,Female,Overweight
56,1.47,36.1,16.70600213,Female,Underweight
56,1.8,98.5,30.40123457,Male,Obese Class 1
56,1.59,98,38.76428939,Female,Obese Class 2
55,1.72,79.28,26.79826933,Male,Overweight
55,1.71,73.68,25.19749667,Male,Overweight
55,1.73,84.88,28.36045307,Male,Overweight
55,1.72,95,32.11195241,Male,Obese Class 1
55,1.7,160,55.3633218,Male,Obese Class 3
55,1.48,36.1,16.48100804,Female,Underweight
54,1.72,79.32,26.81179016,Female,Overweight
54,1.71,73.82,25.24537465,Female,Overweight
54,1.61,78.1,30.13001042,Female,Obese Class 1
54,1.48,36.2,16.5266618,Female,Underweight
54,1.61,100.3,38.69449481,Female,Obese Class 2
53,1.72,79.31,26.80840995,Male,Overweight
53,1.62,76.3,29.073312,Male,Overweight
53,1.49,36.2,16.30557182,Female,Underweight
53,1.62,101.7,38.75171468,Male,Obese Class 2
52,1.72,79.3,26.80502975,Female,Overweight
52,1.71,74,25.30693205,Male,Overweight
52,1.6,73,28.515625,Female,Overweight
52,1.49,36.3,16.35061484,Female,Underweight
52,1.64,105.1,39.07644259,Female,Obese Class 2
51,1.72,79.29,26.80164954,Male,Overweight
51,1.71,74.09,25.33771075,Male,Overweight
51,1.63,70.2,26.42176973,Female,Overweight
51,1.5,36.4,16.17777778,Female,Underweight
51,1.75,91.2,29.77959184,Female,Overweight
51,1.7,107.3,37.12802768,Female,Obese Class 2
50,1.73,79.28,26.48935815,Male,Overweight
50,1.72,74.18,25.07436452,Female,Overweight
50,1.74,84.38,27.87026027,Male,Overweight
50,1.8,135,41.66666667,Male,Obese Class 3
50,1.62,46,17.52781588,Male,Underweight
50,1.63,72.5,27.28744025,Female,Overweight
